Latitude,Longitude,Comentários
-23.3068253,-46.0101434,01/01/2016 de madrugada
-23.2530362,-45.8890362,01/01/2016 de madrugada
-22.7466237,-45.6047183,01/01/2016 de madrugada
-22.8512342,-45.238626,01/01/2016 a tarde
-23.274651,-45.9484734,01/01/2016 em hora incerta
-23.209061,-45.88765009999999,04/01/2016 pela manhã
-23.1982215,-45.8826067,04/01/2016 em hora incerta
-23.2565994,-45.90187359999999,01/01/2016 de madrugada
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.0004296,-45.5504228,07/01/2016 em hora incerta
-23.3078682,-45.98020529999999,01/01/2016 pela manhã
-23.8102637,-45.365701,01/01/2016 de madrugada
-23.1429903,-45.9190656,02/01/2016 a tarde
-22.7405127,-45.5931833,02/01/2016 pela manhã
-23.1429903,-45.9190656,02/01/2016 a tarde
-23.6184288,-45.4081606,01/01/2016 de madrugada
-22.8041758,-45.2017672,06/01/2016 pela manhã
-23.2012005,-45.8836089,11/01/2016 pela manhã
-22.7317325,-45.122361,02/01/2016 pela manhã
-22.5767435,-44.9635927,02/01/2016 a noite
-23.117095,-45.7156186,05/01/2016 a tarde
-23.2861178,-46.034313,01/01/2016 pela manhã
-23.5849012,-45.3342992,06/01/2016 pela manhã
-22.6667249,-44.8534754,24/01/2016 de madrugada
-23.2642214,-45.9431419,05/01/2016 a tarde
-22.5830345,-44.9603597,02/01/2016 a noite
-22.7467198,-45.6048899,04/01/2016 a noite
-23.2377418,-45.8846061,05/01/2016 pela manhã
-22.5844861,-44.9751693,03/01/2016 a noite
-23.248086,-45.8848608,05/01/2016 de madrugada
-23.6082897,-45.3839816,11/01/2016 de madrugada
-22.9242537,-45.4649692,02/01/2016 pela manhã
-23.2362975,-45.8910936,05/01/2016 pela manhã
-22.7981528,-45.2079335,06/01/2016 pela manhã
-23.2007651,-45.8828883,13/01/2016 a tarde
-23.2965439,-45.9661994,29/01/2016 a noite
-23.2565994,-45.90187359999999,02/01/2016 de madrugada
-22.9249399,-45.4641402,02/01/2016 pela manhã
-23.2546426,-45.82711880000001,06/01/2016 de madrugada
-23.715344,-45.4387108,01/01/2016 a tarde
-23.0279563,-45.6215436,02/01/2016 pela manhã
-23.0005968,-45.5386914,07/01/2016 a tarde
-22.5770476,-44.9705601,03/01/2016 a noite
-23.0304244,-45.6130364,11/01/2016 de madrugada
-22.5815599,-44.9648225,26/01/2016 a tarde
-23.2538058,-45.9066064,02/01/2016 de madrugada
-23.0242732,-45.5528685,02/01/2016 a tarde
-22.8903168,-45.38620720000001,14/01/2016 de madrugada
-23.2006094,-45.85712150000001,15/01/2016 de madrugada
-23.1798989,-45.858404,12/01/2016 pela manhã
-23.2092584,-46.15340519999999,12/01/2016 a tarde
-22.577662,-44.9654456,05/01/2016 a noite
-22.577662,-44.9654456,05/01/2016 a noite
-22.8077387,-45.1877059,08/01/2016 em hora incerta
-23.1945855,-45.895779,09/01/2016 pela manhã
-22.7343342,-45.1216557,03/01/2016 em hora incerta
-22.5643935,-44.9620172,19/01/2016 a noite
-23.2740223,-45.8876335,02/01/2016 a tarde
-23.26577,-45.88564849999999,06/01/2016 pela manhã
-23.172663,-45.8114004,07/01/2016 pela manhã
-23.6760669,-45.4320755,02/01/2016 de madrugada
-23.3100877,-45.9789259,03/01/2016 pela manhã
-23.2820403,-45.903851,02/01/2016 a noite
-23.2626591,-45.9024118,02/01/2016 a tarde
-23.3171649,-45.9272365,07/01/2016 de madrugada
-23.1588858,-45.8970092,11/01/2016 a tarde
-22.7348047,-45.1135387,06/01/2016 a noite
-22.7401155,-45.5928105,07/01/2016 a noite
-22.9323718,-45.4697508,05/01/2016 em hora incerta
-23.8027525,-45.40047819999999,04/01/2016 de madrugada
-23.0283664,-45.56871539999999,03/01/2016 a tarde
-23.8181721,-45.4088027,04/01/2016 a noite
-23.2676067,-45.8617829,07/01/2016 de madrugada
-23.1926726,-45.89351250000001,05/01/2016 pela manhã
-23.1579515,-45.8942655,14/01/2016 pela manhã
-23.2529779,-45.8332155,11/01/2016 a noite
-23.226347,-45.9020834,03/01/2016 pela manhã
-22.9533969,-45.414134,20/01/2016 pela manhã
-23.0248801,-45.5510956,05/01/2016 a noite
-23.0313376,-45.5706346,11/01/2016 em hora incerta
-22.8188129,-45.1919417,15/01/2016 a tarde
-22.9340126,-45.4395185,20/01/2016 em hora incerta
-23.1670174,-45.8060052,12/01/2016 pela manhã
-23.2222698,-45.9038505,28/01/2016 a tarde
-23.1862171,-45.87516249999999,05/01/2016 em hora incerta
-23.2295914,-45.8804812,03/01/2016 de madrugada
-23.2792231,-45.8977311,17/01/2016 a tarde
-22.929717,-45.4546585,09/01/2016 a noite
-23.1926726,-45.89351250000001,06/01/2016 pela manhã
-23.1171316,-45.722384,08/01/2016 a tarde
-23.1164562,-45.9442923,20/01/2016 a tarde
-23.2437252,-45.8858944,03/01/2016 a noite
-22.9423536,-45.4621064,26/01/2016 de madrugada
-22.8999587,-45.4824207,09/01/2016 a noite
-22.936855,-45.4303639,22/01/2016 em hora incerta
-22.9247843,-45.466461,09/01/2016 pela manhã
-23.1820097,-45.8293212,13/01/2016 em hora incerta
-23.2994556,-45.9634819,12/01/2016 pela manhã
-23.3061661,-46.0362744,09/01/2016 a noite
-23.3113796,-45.9946224,19/01/2016 pela manhã
-22.9309389,-45.4655431,29/01/2016 a noite
-23.1983253,-45.9102562,06/01/2016 a noite
-22.7295759,-45.12221450000001,22/01/2016 pela manhã
-23.2272331,-45.8901004,13/01/2016 de madrugada
-22.8077387,-45.1877059,21/01/2016 em hora incerta
-23.6113108,-45.3915277,03/01/2016 de madrugada
-23.0855644,-44.95885029999999,22/01/2016 a tarde
-23.1994461,-45.88385290000001,09/01/2016 a noite
-23.0268397,-45.5821647,18/01/2016 a tarde
-23.1942771,-45.8865761,07/01/2016 pela manhã
-22.9242332,-45.448954,18/01/2016 em hora incerta
-22.5794503,-44.96808720000001,20/01/2016 a noite
-23.2669235,-45.9059457,05/01/2016 de madrugada
-23.6915259,-45.4368927,21/01/2016 em hora incerta
-22.9576323,-45.5479616,19/01/2016 a noite
-23.2544167,-45.9015591,05/01/2016 de madrugada
-23.2814023,-45.9135266,14/01/2016 de madrugada
-23.1930758,-45.78303870000001,14/01/2016 pela manhã
-22.7409192,-45.5943336,18/01/2016 a tarde
-23.2042757,-45.89210449999999,05/01/2016 pela manhã
-23.3235195,-45.9927518,25/01/2016 a noite
-22.9563625,-45.4616231,13/01/2016 a noite
-22.7995613,-45.1970511,20/01/2016 a noite
-22.6657394,-45.0120143,25/01/2016 em hora incerta
-23.2034179,-45.89873009999999,08/01/2016 em hora incerta
-22.5776417,-44.9638165,24/01/2016 a noite
-22.6726794,-45.0049263,25/01/2016 a noite
-23.2967312,-45.9822381,26/01/2016 de madrugada
-23.2784687,-45.86155309999999,18/01/2016 de madrugada
-22.8141905,-45.1852382,29/01/2016 a tarde
-23.2052838,-45.9033931,08/01/2016 pela manhã
-23.2517602,-45.9061317,06/01/2016 a noite
-23.0110959,-45.5772138,18/01/2016 a noite
-23.2315949,-45.8782221,19/01/2016 em hora incerta
-23.2069009,-45.7867755,18/01/2016 de madrugada
-22.9237841,-45.4622112,25/01/2016 pela manhã
-23.1803306,-45.8862718,09/01/2016 a tarde
-22.5766854,-44.9594505,30/01/2016 pela manhã
-23.1729119,-45.8228437,18/01/2016 em hora incerta
-23.2183297,-45.8934173,19/01/2016 em hora incerta
-22.9264308,-45.4633247,16/01/2016 a tarde
-22.5701121,-44.9651298,30/01/2016 a noite
-23.3016587,-45.962213,13/01/2016 a tarde
-23.0147457,-45.54934550000001,18/01/2016 de madrugada
-23.2015545,-45.85558220000001,19/01/2016 de madrugada
-23.1126004,-45.70823660000001,14/01/2016 pela manhã
-23.1724404,-45.8241577,19/01/2016 a tarde
-22.7404216,-45.5890992,22/01/2016 de madrugada
-23.0039527,-45.57997810000001,10/01/2016 a noite
-23.2605824,-45.96494209999999,16/01/2016 de madrugada
-23.0110174,-45.58985209999999,21/01/2016 em hora incerta
-23.0110174,-45.58985209999999,21/01/2016 em hora incerta
-23.2287746,-45.90289420000001,07/01/2016 a tarde
-22.9484442,-45.4653113,18/01/2016 de madrugada
-23.1723807,-45.8901724,03/01/2016 em hora incerta
-22.9344195,-45.458396,18/01/2016 a noite
-23.3025988,-45.9656569,25/01/2016 a tarde
